                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8118,                 2.7016,                  1.407,                0.57594,                0.46211,                  0.483,                0.25927,                 1.5703,                  1.705,                 1.2478,               0.070205,              0.0033105,              0.0033105
                      1,                 1.6437,                 1.6089,                 1.2659,                0.62707,                0.59383,                0.65143,                0.34983,                 1.5217,                 1.3107,                  1.212,               0.040074,              0.0065123,              0.0065123
                      2,                 1.6904,                  1.525,                 1.2664,                0.63239,                0.57422,                0.61488,                0.31568,                 1.6267,                 1.5013,                 1.2477,              0.0098104,              0.0095821,              0.0095821
                      3,                 1.7932,                 1.6436,                  1.307,                0.59376,                 0.5473,                0.58702,                0.29604,                 1.6995,                 1.4705,                 1.2726,               0.009406,               0.009406,               0.009406
                      4,                 1.7847,                 1.5223,                 1.3091,                0.65087,                0.69499,                0.71587,                0.37496,                 1.5899,                 1.3024,                 1.2415,               0.009406,               0.009406,               0.009406
                      5,                 1.7506,                 1.4122,                 1.2762,                0.74747,                0.71526,                0.78387,                0.41429,                  1.575,                 1.1385,                 1.2294,               0.009208,               0.009208,               0.009208
                      6,                 1.7279,                 1.3716,                 1.2823,                0.76095,                0.66381,                0.75179,                0.40875,                 1.5281,                  1.208,                 1.2035,                0.00901,                0.00901,                0.00901
                      7,                 1.6813,                 1.2813,                 1.2499,                0.78928,                0.71778,                0.79361,                0.41817,                 1.5927,                 1.1216,                 1.2194,               0.008812,               0.008812,               0.008812
                      8,                 1.6601,                 1.2386,                 1.2478,                0.83174,                0.79278,                0.84897,                0.47451,                 1.4626,                0.95388,                 1.1854,               0.008614,               0.008614,               0.008614
                      9,                 1.6239,                 1.1723,                   1.23,                0.73147,                0.74639,                0.78057,                0.41012,                   1.62,                  1.171,                 1.2216,               0.008416,               0.008416,               0.008416
                     10,                 1.6013,                 1.1514,                 1.2274,                0.85457,                0.80429,                0.85971,                0.48791,                 1.5095,                0.92043,                 1.1764,               0.008218,               0.008218,               0.008218
                     11,                 1.5906,                 1.1259,                  1.205,                0.88022,                  0.839,                0.90687,                0.50857,                 1.4273,                0.85817,                 1.1339,                0.00802,                0.00802,                0.00802
                     12,                 1.5349,                 1.0548,                 1.1713,                0.92559,                0.84826,                 0.9215,                0.52995,                 1.4122,                 0.8446,                  1.131,               0.007822,               0.007822,               0.007822
                     13,                 1.5495,                 1.0447,                  1.187,                0.90453,                0.84109,                0.93371,                0.53761,                 1.3813,                0.80089,                 1.1247,               0.007624,               0.007624,               0.007624
                     14,                  1.516,                 1.0145,                 1.1709,                0.89881,                0.90159,                0.93087,                0.53844,                  1.354,                0.78244,                 1.1093,               0.007426,               0.007426,               0.007426
                     15,                 1.5009,                 1.0023,                 1.1585,                 0.8956,                0.85113,                 0.9038,                0.51274,                  1.395,                0.84758,                 1.1321,               0.007228,               0.007228,               0.007228
                     16,                 1.4865,                0.99702,                  1.152,                0.90447,                0.90154,                 0.9361,                0.54667,                 1.3875,                0.77158,                 1.1172,                0.00703,                0.00703,                0.00703
                     17,                 1.4488,                 0.9362,                  1.137,                0.89718,                0.88591,                0.91786,                0.54803,                 1.3992,                0.78733,                  1.118,               0.006832,               0.006832,               0.006832
                     18,                 1.4481,                 0.9422,                 1.1396,                0.87585,                0.88879,                0.93485,                0.54612,                 1.3422,                0.75654,                 1.1009,               0.006634,               0.006634,               0.006634
                     19,                 1.4383,                0.90665,                 1.1265,                0.89423,                0.91247,                0.93291,                0.56007,                 1.3447,                0.71051,                 1.1013,               0.006436,               0.006436,               0.006436
                     20,                 1.4315,                0.89298,                 1.1317,                0.90469,                0.90512,                0.93428,                 0.5562,                 1.3515,                0.70128,                 1.1023,               0.006238,               0.006238,               0.006238
                     21,                 1.4248,                0.90255,                 1.1154,                0.93798,                0.90306,                0.94716,                0.57564,                 1.3224,                0.69922,                 1.0881,                0.00604,                0.00604,                0.00604
                     22,                 1.4121,                0.88377,                  1.112,                 0.9389,                0.94235,                0.95186,                0.58459,                 1.3007,                0.68104,                 1.0784,               0.005842,               0.005842,               0.005842
                     23,                 1.3939,                0.85591,                 1.1016,                0.90862,                0.89371,                0.91155,                0.56595,                 1.3275,                0.66987,                 1.0781,               0.005644,               0.005644,               0.005644
                     24,                 1.3914,                0.85877,                  1.105,                 0.9443,                0.89655,                0.94927,                 0.5889,                 1.3005,                0.65206,                 1.0695,               0.005446,               0.005446,               0.005446
                     25,                 1.3768,                0.81958,                   1.09,                 0.9325,                0.94124,                0.95072,                 0.5852,                 1.3072,                0.66358,                 1.0699,               0.005248,               0.005248,               0.005248
                     26,                 1.3727,                 0.8269,                 1.0946,                0.95148,                0.93339,                0.95008,                0.58281,                 1.3141,                0.65976,                 1.0694,                0.00505,                0.00505,                0.00505
                     27,                 1.3552,                0.80103,                 1.0924,                0.93131,                0.94339,                0.96357,                0.62048,                 1.2389,                  0.629,                 1.0569,               0.004852,               0.004852,               0.004852
                     28,                 1.3357,                0.79309,                 1.0889,                0.93573,                0.92311,                0.95468,                0.57722,                 1.2898,                  0.637,                 1.0668,               0.004654,               0.004654,               0.004654
                     29,                  1.323,                0.77448,                 1.0761,                0.97219,                0.94882,                 0.9662,                0.60577,                 1.2589,                0.60755,                 1.0559,               0.004456,               0.004456,               0.004456
                     30,                 1.3223,                0.77167,                 1.0702,                0.95049,                0.94787,                0.96403,                0.59881,                  1.269,                0.61849,                 1.0595,               0.004258,               0.004258,               0.004258
                     31,                 1.3269,                0.75389,                 1.0727,                0.93747,                0.94282,                0.95629,                0.60174,                 1.2964,                0.61681,                 1.0589,                0.00406,                0.00406,                0.00406
                     32,                 1.2927,                0.74378,                 1.0598,                0.93367,                0.93696,                0.95974,                0.60314,                 1.2838,                0.62071,                 1.0603,               0.003862,               0.003862,               0.003862
                     33,                 1.2916,                0.74013,                 1.0627,                0.96287,                0.94114,                0.95661,                0.60784,                 1.2545,                0.58905,                 1.0452,               0.003664,               0.003664,               0.003664
                     34,                 1.2795,                0.71718,                  1.062,                0.93911,                0.94077,                0.95205,                0.61762,                 1.2289,                 0.6028,                 1.0313,               0.003466,               0.003466,               0.003466
                     35,                 1.2693,                0.71275,                 1.0549,                0.94722,                0.95024,                0.96615,                0.62745,                 1.2154,                0.58487,                 1.0272,               0.003268,               0.003268,               0.003268
                     36,                 1.2746,                0.71252,                 1.0576,                0.93075,                0.93763,                0.94832,                 0.6249,                 1.1974,                0.57788,                 1.0258,                0.00307,                0.00307,                0.00307
                     37,                 1.2611,                0.70986,                 1.0538,                0.93856,                0.95822,                0.96049,                0.62898,                 1.2113,                0.55932,                 1.0285,               0.002872,               0.002872,               0.002872
                     38,                 1.2439,                 0.6895,                 1.0488,                0.94618,                0.91868,                0.93981,                0.61373,                 1.2555,                0.56688,                 1.0407,               0.002674,               0.002674,               0.002674
                     39,                 1.2175,                 0.6748,                 1.0374,                0.95516,                0.96274,                0.96699,                0.62618,                 1.2154,                0.55721,                 1.0301,               0.002476,               0.002476,               0.002476
                     40,                 1.1999,                0.67404,                 1.0315,                0.95214,                0.97189,                0.97275,                0.62488,                 1.2194,                0.53929,                 1.0359,               0.002278,               0.002278,               0.002278
                     41,                 1.2133,                0.66949,                 1.0345,                0.96769,                0.96596,                0.97003,                0.62841,                 1.2107,                0.54428,                 1.0278,                0.00208,                0.00208,                0.00208
                     42,                 1.1976,                0.65513,                 1.0207,                0.96112,                  0.957,                0.96424,                0.63533,                 1.1943,                 0.5285,                 1.0247,               0.001882,               0.001882,               0.001882
                     43,                 1.1925,                0.64711,                 1.0216,                0.95929,                0.95635,                 0.9676,                0.64161,                 1.1855,                0.53119,                 1.0212,               0.001684,               0.001684,               0.001684
                     44,                 1.1653,                0.63736,                 1.0195,                0.96538,                0.95869,                0.96961,                  0.635,                 1.1982,                0.53774,                 1.0265,               0.001486,               0.001486,               0.001486
                     45,                  1.157,                0.61154,                 1.0107,                 0.9684,                0.96447,                0.97354,                0.64722,                 1.1672,                0.51655,                 1.0142,               0.001288,               0.001288,               0.001288
                     46,                 1.1212,                0.61292,                0.99535,                0.96731,                0.95816,                0.97049,                0.64904,                 1.1492,                0.51983,                 1.0057,                0.00109,                0.00109,                0.00109
                     47,                 1.1395,                0.61025,                 1.0019,                0.96001,                0.96825,                0.97065,                0.64558,                  1.162,                 0.5167,                 1.0126,               0.000892,               0.000892,               0.000892
                     48,                 1.1269,                0.60449,                 1.0085,                0.96616,                0.96151,                0.96998,                 0.6482,                 1.1533,                0.50476,                 1.0103,               0.000694,               0.000694,               0.000694
                     49,                 1.1251,                0.60154,                 1.0116,                 0.9662,                0.96182,                0.97319,                 0.6514,                 1.1497,                0.50081,                 1.0115,               0.000496,               0.000496,               0.000496
